patientid,firstname,lastname,middlename,ssn,phonenumber,gender,dateofbirth,address,modifieddate,source_hospital,unified_patient_id,insurance,email,email_valid,data_quality_flag,age,year,month,quarter,dayofweek
HOSP1-000034,Jason,George,I,690-12-1500,72820000419895,Female,2016-05-22,"068 Fritz Port Suite 849, Robersonside, MO 93180",2023-05-23,hospital_a,A-HOSP1-000034,,,False,Invalid Email,9,2023,5,2,Tuesday
HOSP1-000035,Andrea,Nelson,C,512-97-8396,6277673502488,Male,1959-06-18,"823 Cameron Road Suite 014, Lake Oscar, AK 47170",2023-12-18,hospital_a,A-HOSP1-000035,,,False,Invalid Email,66,2023,12,4,Monday
HOSP1-000036,Jesse,Davis,B,684-53-9768,0013857813704,Female,1968-05-27,"757 Miller Mall Suite 998, New Misty, OR 57127",2024-09-22,hospital_a,A-HOSP1-000036,,,False,Invalid Email,57,2024,9,3,Sunday
HOSP1-000037,Jennifer,Potts,L,629-71-4804,36643758770218,Male,1970-03-11,"USCGC Pollard, FPO AA 73455",2024-01-09,hospital_a,A-HOSP1-000037,,,False,Invalid Email,55,2024,1,1,Tuesday
HOSP1-000038,Anna,Figueroa,J,113-78-4622,284327478811404,Female,2000-04-19,"683 Dixon Forest Suite 645, Nathanport, OH 44303",2020-10-20,hospital_a,A-HOSP1-000038,,,False,Invalid Email,25,2020,10,4,Tuesday
HOSP1-000039,Mike,Salazar,L,264-66-3904,5764654066,Female,2020-05-19,"USS Rivera, FPO AE 44935",2022-01-04,hospital_a,A-HOSP1-000039,,,False,Invalid Email,5,2022,1,1,Tuesday
HOSP1-000040,Tracy,Petty,A,350-22-5791,001290690180338459,Male,1979-07-20,"96875 James Port Suite 164, Mahoneymouth, ID 95652",2021-08-11,hospital_a,A-HOSP1-000040,,,False,Invalid Email,46,2021,8,3,Wednesday
HOSP1-000041,Summer,King,V,400-95-6325,5219636551,Female,1964-12-23,"66738 Mclaughlin Neck Suite 030, New Aaron, MD 29822",2022-01-04,hospital_a,A-HOSP1-000041,,,False,Invalid Email,60,2022,1,1,Tuesday
HOSP1-000042,Deborah,Delgado,C,767-04-0293,144689657147350,Male,1966-07-09,"40618 Erickson Curve, Brianberg, OH 62504",2022-04-27,hospital_a,A-HOSP1-000042,,,False,Invalid Email,59,2022,4,2,Wednesday
HOSP1-000043,Julia,Holloway,P,442-35-1341,27330910130732,Male,1926-03-25,"474 Gina Trafficway Suite 127, Lake Jacqueline, MI 93057",2020-02-04,hospital_a,A-HOSP1-000043,,,False,Invalid Email,99,2020,2,1,Tuesday
HOSP1-000044,Mary,Delacruz,V,514-75-7202,3269754277,Female,1952-10-20,"17190 Megan Gateway, South Adam, VA 23932",2023-01-20,hospital_a,A-HOSP1-000044,,,False,Invalid Email,72,2023,1,1,Friday
HOSP1-000045,Jennifer,Clark,C,893-89-4594,7155886492,Male,2010-12-10,"PSC 1154, Box 8342, APO AE 38751",2020-12-04,hospital_a,A-HOSP1-000045,,,False,Invalid Email,14,2020,12,4,Friday
HOSP1-000046,James,Perez,N,795-56-0821,14062635986131,Male,1948-12-06,"901 Lisa Falls, Port Kelli, PR 48174",2023-09-10,hospital_a,A-HOSP1-000046,,,False,Invalid Email,76,2023,9,3,Sunday
HOSP1-000047,Michelle,Cox,W,434-10-6913,34589945588690,Female,2020-05-28,"55060 Jacobs Course, West Saraport, WI 36788",2024-08-19,hospital_a,A-HOSP1-000047,,,False,Invalid Email,5,2024,8,3,Monday
HOSP1-000048,Jose,Jones,P,055-13-9481,285930158157304,Male,1963-08-02,"51037 Hall Road Suite 491, East Jonathanhaven, DC 37067",2023-12-28,hospital_a,A-HOSP1-000048,,,False,Invalid Email,62,2023,12,4,Thursday
HOSP1-000049,John,Landry,T,700-48-3445,4444463312,Female,1985-11-30,"39227 Romero Lakes, Lake Cody, GU 96439",2020-12-07,hospital_a,A-HOSP1-000049,,,False,Invalid Email,39,2020,12,4,Monday
HOSP1-000050,Tyler,Henry,A,863-75-1567,6772803183,Female,1927-06-16,"7275 Lewis Orchard, New Jennifer, IL 18475",2020-07-16,hospital_a,A-HOSP1-000050,,,False,Invalid Email,98,2020,7,3,Thursday
HOSP1-000051,Lisa,Owens,K,417-24-7283,9993451513,Male,2003-04-13,"251 Heather Extension, Jeffreyberg, VT 35561",2024-10-17,hospital_a,A-HOSP1-000051,,,False,Invalid Email,22,2024,10,4,Thursday
HOSP1-000052,Anna,Rodriguez,C,139-54-8162,84695759520696,Female,1949-03-01,"881 Clark Mount Suite 969, Cookemouth, HI 80243",2024-09-03,hospital_a,A-HOSP1-000052,,,False,Invalid Email,76,2024,9,3,Tuesday
HOSP1-000053,Jonathan,Brown,X,157-38-7244,0019625466779438,Female,1954-08-20,"54754 David Locks, Romeroville, MD 70176",2024-03-26,hospital_a,A-HOSP1-000053,,,False,Invalid Email,70,2024,3,1,Tuesday
HOSP1-000054,Sarah,Gilbert,U,067-29-5931,94068968785534,Male,1986-11-27,"4963 Young Bypass Suite 349, Robertstad, OR 97787",2021-08-09,hospital_a,A-HOSP1-000054,,,False,Invalid Email,38,2021,8,3,Monday
HOSP1-000055,Tara,Singh,N,846-32-1264,17596271341358,Male,1992-12-31,"758 Janet Fields Apt. 548, Deanstad, IL 74262",2021-03-22,hospital_a,A-HOSP1-000055,,,False,Invalid Email,32,2021,3,1,Monday
HOSP1-000056,Kathryn,Arnold,S,078-98-1628,5017833020,Female,1970-06-12,"545 Price Courts, Port Susanview, ME 22151",2022-01-13,hospital_a,A-HOSP1-000056,,,False,Invalid Email,55,2022,1,1,Thursday
HOSP1-000057,Brandon,Zhang,W,610-46-3683,266232024859530,Female,1957-06-27,"117 Levy Heights Suite 968, Wendymouth, NM 42855",2020-09-19,hospital_a,A-HOSP1-000057,,,False,Invalid Email,68,2020,9,3,Saturday
HOSP1-000058,Krystal,Aguirre,V,632-58-5614,49574004088538,Female,2012-12-01,"7279 Anthony Ports Suite 979, Margaretmouth, TX 06638",2020-07-31,hospital_a,A-HOSP1-000058,,,False,Invalid Email,12,2020,7,3,Friday
HOSP1-000059,Linda,Jackson,B,098-66-0957,617842289173984,Male,1943-04-17,"USS Warren, FPO AP 26128",2022-06-20,hospital_a,A-HOSP1-000059,,,False,Invalid Email,82,2022,6,2,Monday
HOSP1-000060,Thomas,Porter,J,876-75-7662,0015844537956408,Male,1980-06-25,"083 Mcmahon Inlet, Garciahaven, IA 71291",2022-02-20,hospital_a,A-HOSP1-000060,,,False,Invalid Email,45,2022,2,1,Sunday
HOSP1-000061,Andrew,Hughes,M,071-70-5012,9205624448,Male,2018-11-10,"2981 Justin Courts Suite 973, Lake Crystalbury, LA 49697",2020-05-23,hospital_a,A-HOSP1-000061,,,False,Invalid Email,6,2020,5,2,Saturday
HOSP1-000062,Jane,Walter,C,189-76-6583,0012149551611,Female,1974-02-04,"24812 John Shoal Suite 954, Padillaside, GU 77418",2024-04-03,hospital_a,A-HOSP1-000062,,,False,Invalid Email,51,2024,4,2,Wednesday
HOSP1-000063,Jack,Oliver,M,468-75-8091,84470622420539,Female,1937-07-11,"65614 Zachary Way Apt. 306, South Christopher, RI 58332",2024-02-26,hospital_a,A-HOSP1-000063,,,False,Invalid Email,88,2024,2,1,Monday
HOSP1-000064,Lauren,Hernandez,C,771-95-3140,69527352064793,Female,2012-08-07,"4716 Herman Knolls Suite 765, West Raymond, WI 95978",2022-05-17,hospital_a,A-HOSP1-000064,,,False,Invalid Email,13,2022,5,2,Tuesday
HOSP1-000065,Laura,Johnson,F,383-12-0729,7533341343,Male,1941-07-02,"735 Moore Mill, Farmertown, TN 32526",2023-01-21,hospital_a,A-HOSP1-000065,,,False,Invalid Email,84,2023,1,1,Saturday
HOSP1-000066,Sherry,Mcguire,C,251-24-7359,171495007810169,Female,2003-11-01,"41760 William Valley Apt. 272, Samuelville, UT 08585",2021-06-11,hospital_a,A-HOSP1-000066,,,False,Invalid Email,21,2021,6,2,Friday
HOSP1-000067,Jennifer,Christensen,S,750-10-1935,6695436018032,Female,1936-01-10,"USS Parsons, FPO AE 21075",2020-03-03,hospital_a,A-HOSP1-000067,,,False,Invalid Email,89,2020,3,1,Tuesday
HOSP1-000068,Amanda,Lee,T,691-09-8851,290589113861869,Male,2007-03-20,"034 Rodriguez Burgs Suite 469, Christopherstad, NC 50052",2023-09-24,hospital_a,A-HOSP1-000068,,,False,Invalid Email,18,2023,9,3,Sunday
HOSP1-000069,David,Shaw,P,204-05-2670,1621476246525661,Female,1929-03-10,"2721 Schwartz Overpass, Brandibury, GU 29255",2023-01-26,hospital_a,A-HOSP1-000069,,,False,Invalid Email,96,2023,1,1,Thursday
HOSP1-000070,John,Sanchez,G,240-28-8324,155257815124835,Male,2005-11-19,"462 Meghan Pass, Anthonyview, UT 16011",2021-11-13,hospital_a,A-HOSP1-000070,,,False,Invalid Email,19,2021,11,4,Saturday
HOSP1-000071,Rachel,Bailey,R,616-88-9735,88290185463763,Male,1969-03-07,"77381 Jennifer Mountain, Keithport, GU 34188",2021-04-03,hospital_a,A-HOSP1-000071,,,False,Invalid Email,56,2021,4,2,Saturday
HOSP1-000072,Daisy,Perez,J,854-65-9302,336436923939294,Male,1932-12-08,"7344 Lisa Island, Jamiebury, SC 47055",2024-05-27,hospital_a,A-HOSP1-000072,,,False,Invalid Email,92,2024,5,2,Monday
HOSP1-000073,Neil,Mitchell,J,268-56-7425,9149172592,Male,2000-03-31,"87768 Jenkins Square Apt. 053, Amybury, AR 77746",2024-01-06,hospital_a,A-HOSP1-000073,,,False,Invalid Email,25,2024,1,1,Saturday
HOSP1-000074,Timothy,Johnson,J,657-54-6177,93544738389000,Male,1967-12-11,"USS Miller, FPO AP 54190",2024-03-31,hospital_a,A-HOSP1-000074,,,False,Invalid Email,57,2024,3,1,Sunday
HOSP1-000075,Elizabeth,Gonzalez,U,320-52-0859,0017632350999,Female,1941-07-26,"3704 Jamie Flats, Briggsburgh, VT 47236",2021-08-01,hospital_a,A-HOSP1-000075,,,False,Invalid Email,84,2021,8,3,Sunday
HOSP1-000076,Jamie,Garrett,E,194-73-5785,9209378226078,Male,2011-09-26,"294 Ashley Glens Apt. 559, Jameston, LA 52790",2024-02-08,hospital_a,A-HOSP1-000076,,,False,Invalid Email,13,2024,2,1,Thursday
HOSP1-000077,James,Brown,A,176-25-0447,45379941889262,Female,1945-12-28,"318 William Union, East Michaelstad, CO 72861",2021-09-15,hospital_a,A-HOSP1-000077,,,False,Invalid Email,79,2021,9,3,Wednesday
HOSP1-000078,Marilyn,Mitchell,D,836-65-0318,0017142387355,Male,1939-02-07,"607 Timothy Union, Lake Michael, AL 76508",2021-09-03,hospital_a,A-HOSP1-000078,,,False,Invalid Email,86,2021,9,3,Friday
HOSP1-000079,Lisa,Hardy,B,471-14-5082,8466255097,Female,1977-01-16,"8048 Joseph River Apt. 119, North Carolberg, MD 76883",2024-05-04,hospital_a,A-HOSP1-000079,,,False,Invalid Email,48,2024,5,2,Saturday
HOSP1-000080,Daniel,Sloan,N,778-37-5243,6868646696658,Male,1986-01-05,"59280 Natalie Bypass Apt. 271, Lake Devintown, VA 40767",2022-09-03,hospital_a,A-HOSP1-000080,,,False,Invalid Email,39,2022,9,3,Saturday
HOSP1-000081,Courtney,Fritz,L,616-22-9525,16466380584714,Male,2011-12-17,"8800 Jennifer Loop, Port Zoeport, VI 27777",2022-04-04,hospital_a,A-HOSP1-000081,,,False,Invalid Email,13,2022,4,2,Monday
HOSP1-000082,Melissa,Mcdonald,K,716-23-4752,00133674226444943,Female,2016-01-26,"989 Robert Canyon, New Lori, WV 11888",2024-06-23,hospital_a,A-HOSP1-000082,,,False,Invalid Email,9,2024,6,2,Sunday
HOSP1-000083,Erica,Schmidt,G,175-89-1270,47788732511772,Male,1960-02-16,"502 Lewis Oval, West Brandon, NY 51215",2022-10-09,hospital_a,A-HOSP1-000083,,,False,Invalid Email,65,2022,10,4,Sunday
HOSP1-000084,Sandra,Castillo,C,015-27-9810,2846671152,Male,2013-12-24,"61975 Kimberly Glens Suite 804, Alexandraland, PA 89689",2022-02-06,hospital_a,A-HOSP1-000084,,,False,Invalid Email,11,2022,2,1,Sunday
HOSP1-000085,Jennifer,Webb,F,500-75-0894,124826361811260,Male,1933-09-09,"684 Morrison Fall Apt. 172, Lake Karla, KY 33570",2022-01-16,hospital_a,A-HOSP1-000085,,,False,Invalid Email,91,2022,1,1,Sunday
HOSP1-000086,Damon,Curtis,W,036-61-3492,6618097367,Female,1936-09-30,"997 Bryan Streets, West Robert, MT 69243",2020-06-14,hospital_a,A-HOSP1-000086,,,False,Invalid Email,88,2020,6,2,Sunday
HOSP1-000087,Jeffrey,Hall,Q,458-97-0541,12529976192,Female,2012-03-02,"3956 Foster Highway Suite 029, Andrewchester, IN 33036",2020-02-14,hospital_a,A-HOSP1-000087,,,False,Invalid Email,13,2020,2,1,Friday
HOSP1-000088,Anna,Dalton,C,465-91-9361,577532030700461,Female,1932-04-09,"57703 Davis Stravenue, West Rebecca, AK 80004",2021-07-29,hospital_a,A-HOSP1-000088,,,False,Invalid Email,93,2021,7,3,Thursday
HOSP1-000089,Carlos,Hughes,E,862-35-1975,470460710019032,Male,1997-07-17,"6650 John Rapids Suite 716, North Melaniebury, CA 18081",2020-06-18,hospital_a,A-HOSP1-000089,,,False,Invalid Email,28,2020,6,2,Thursday
HOSP1-000090,Erin,Knapp,G,224-60-1021,9978440702,Female,1993-03-02,"213 Rodriguez Port, North Noahborough, KS 87726",2020-11-14,hospital_a,A-HOSP1-000090,,,False,Invalid Email,32,2020,11,4,Saturday
HOSP1-000091,Bradley,Sanchez,U,549-03-6962,184621193223634,Male,1999-03-21,"USNV Gonzalez, FPO AA 76714",2021-10-09,hospital_a,A-HOSP1-000091,,,False,Invalid Email,26,2021,10,4,Saturday
HOSP1-000092,John,Hines,B,824-65-8460,001636441769785954,Female,2013-09-27,"700 Cruz Union, Amybury, AZ 75822",2020-08-25,hospital_a,A-HOSP1-000092,,,False,Invalid Email,11,2020,8,3,Tuesday
HOSP1-000093,Paul,Evans,M,463-08-8911,001269564260842092,Female,1993-07-17,"Unit 5848 Box 7660, DPO AP 64007",2020-03-18,hospital_a,A-HOSP1-000093,,,False,Invalid Email,32,2020,3,1,Wednesday
HOSP1-000094,Cynthia,Goodwin,N,784-31-8508,7533319131,Female,1933-02-18,"14425 Melissa Mountains Apt. 777, Christopherhaven, ME 51901",2022-03-09,hospital_a,A-HOSP1-000094,,,False,Invalid Email,92,2022,3,1,Wednesday
HOSP1-000095,Marisa,Fowler,N,706-92-8336,0016977958916301,Male,1982-03-13,"PSC 5917, Box 5889, APO AP 18395",2023-01-12,hospital_a,A-HOSP1-000095,,,False,Invalid Email,43,2023,1,1,Thursday
HOSP1-000096,Kathryn,Norton,I,307-95-3419,7399105485,Female,2009-08-23,"256 Brian Plains, East Melissafurt, NJ 44204",2021-12-16,hospital_a,A-HOSP1-000096,,,False,Invalid Email,15,2021,12,4,Thursday
HOSP1-000097,Joseph,Graham,X,506-82-7567,19565272732,Female,1967-12-25,"10079 Ford Ways Apt. 581, North Josephland, IN 75236",2022-08-13,hospital_a,A-HOSP1-000097,,,False,Invalid Email,57,2022,8,3,Saturday
HOSP1-000098,Aaron,Montoya,C,739-76-7495,2644498107,Male,1982-12-19,"4275 Dean Crescent, South Grantbury, SD 55871",2020-03-14,hospital_a,A-HOSP1-000098,,,False,Invalid Email,42,2020,3,1,Saturday
HOSP1-000099,Kevin,Edwards,U,299-90-9449,2956517501,Female,2024-09-09,"76144 Mary Shores Apt. 654, Port Ashleymouth, NC 50796",2022-06-16,hospital_a,A-HOSP1-000099,,,False,Invalid Email,0,2022,6,2,Thursday
HOSP1-000100,Brian,Gilmore,Q,607-68-8061,47493180430600,Female,1998-05-21,"333 Elijah Greens Suite 104, New Steve, TX 80995",2022-03-28,hospital_a,A-HOSP1-000100,,,False,Invalid Email,27,2022,3,1,Monday
HOSP1-000101,Nicholas,Shepard,B,205-33-2223,0015899706407,Male,2015-04-23,"8277 Sanchez Corner, Wallacehaven, GU 40704",2021-07-05,hospital_a,A-HOSP1-000101,,,False,Invalid Email,10,2021,7,3,Monday
HOSP1-000102,Michael,Montgomery,O,483-98-9721,176882957660400,Female,1938-11-08,"1161 Maldonado Isle Suite 333, Davidfort, AR 32360",2023-09-05,hospital_a,A-HOSP1-000102,,,False,Invalid Email,86,2023,9,3,Tuesday
HOSP1-000103,William,Martin,S,413-97-5964,7392149886209,Female,2000-09-11,"5720 David Prairie Apt. 921, Keithmouth, PA 53379",2020-06-01,hospital_a,A-HOSP1-000103,,,False,Invalid Email,24,2020,6,2,Monday
HOSP1-000104,Erin,Wilson,K,696-90-7804,557762500554878,Female,1943-04-23,"24401 Butler Passage, New Hunterborough, TX 52959",2022-09-25,hospital_a,A-HOSP1-000104,,,False,Invalid Email,82,2022,9,3,Sunday
HOSP1-000105,Betty,Ferguson,N,672-01-5793,22320606830684,Female,1947-03-15,"4762 Cynthia Overpass Suite 560, Reillyport, NY 40562",2024-04-25,hospital_a,A-HOSP1-000105,,,False,Invalid Email,78,2024,4,2,Thursday
HOSP1-000106,Walter,Tucker,Y,794-12-9877,44729714170666,Male,1929-05-17,"5906 Baxter Track Apt. 999, West Lindsey, MO 66237",2024-09-17,hospital_a,A-HOSP1-000106,,,False,Invalid Email,96,2024,9,3,Tuesday
HOSP1-000107,Brianna,Odonnell,J,409-60-0222,2883406626821,Male,1957-01-19,"104 Matthew Green Apt. 501, New Richard, ND 37277",2022-03-25,hospital_a,A-HOSP1-000107,,,False,Invalid Email,68,2022,3,1,Friday
HOSP1-000108,Randall,Washington,C,832-87-6112,8175510235,Female,1938-01-21,"39231 Bowen Hill, Kimberlyshire, KS 80954",2020-08-18,hospital_a,A-HOSP1-000108,,,False,Invalid Email,87,2020,8,3,Tuesday
HOSP1-000109,Evelyn,Taylor,E,387-84-3456,312865719481224,Female,1953-10-20,"30482 Laurie Dam, Ruizville, MA 20740",2022-10-03,hospital_a,A-HOSP1-000109,,,False,Invalid Email,71,2022,10,4,Monday
HOSP1-000110,Kelly,Flores,V,350-88-0467,00189445323690684,Male,1931-01-22,"9160 Bates Valley Suite 357, Jordanfurt, AZ 08782",2020-12-25,hospital_a,A-HOSP1-000110,,,False,Invalid Email,94,2020,12,4,Friday
HOSP1-000111,Anna,Copeland,K,549-69-2664,334740519935922,Male,1961-12-02,"12713 Larson Ports Apt. 390, Moorehaven, MA 27729",2022-10-28,hospital_a,A-HOSP1-000111,,,False,Invalid Email,63,2022,10,4,Friday
HOSP1-000112,Cheryl,Weaver,U,295-60-5583,0014416979263187,Female,2019-09-05,"797 Reginald Station, Mcbridemouth, NJ 45236",2024-07-31,hospital_a,A-HOSP1-000112,,,False,Invalid Email,5,2024,7,3,Wednesday
HOSP1-000113,Priscilla,Gonzalez,G,651-80-4906,15175218604161,Female,2015-07-10,"40836 Derek Parkway, Lake Michael, AS 95355",2022-12-13,hospital_a,A-HOSP1-000113,,,False,Invalid Email,10,2022,12,4,Tuesday
HOSP1-000114,Charles,Vasquez,B,023-69-6399,0017729664357,Male,2009-01-15,"28854 Melissa Unions, East Sallyhaven, MD 80806",2020-11-13,hospital_a,A-HOSP1-000114,,,False,Invalid Email,16,2020,11,4,Friday
HOSP1-000115,Stephanie,Bryant,M,500-73-3418,5463982687,Female,2012-08-28,"585 David Burg Suite 001, Port Crystalfurt, WA 99187",2023-01-18,hospital_a,A-HOSP1-000115,,,False,Invalid Email,12,2023,1,1,Wednesday
HOSP1-000116,Andrew,Young,O,408-98-3729,001568662134243924,Male,1987-12-25,"57409 Lori Mall, Evanville, UT 09129",2020-04-24,hospital_a,A-HOSP1-000116,,,False,Invalid Email,37,2020,4,2,Friday
